"Espèce de référence";"Nom(s) cité(s) ";"Règne";
"Ampedus pomonae (Stephens, 1830)";"Ampedus pomonae (Stephens, 1830)";Animalia;
"Ampedus praeustus (Fabricius, 1792)";"Ampedus praeustus (Fabricius, 1792)";Animalia;
"Ampedus rufipennis (Stephens, 1830)";"Ampedus rufipennis (Stephens, 1830)";Animalia;
"Ampedus sanguinolentus (Schrank, 1776)";"Ampedus sanguinolentus (Schrank, 1776)";Animalia;
"Ampedus scrofa Germar, 1844";"Ampedus scrofa Germar, 1844";Animalia;
"Ampedus sinuatus Germar, 1844";"Ampedus sinuatus Germar, 1844";Animalia;
"Amphicerus bimaculatus (Olivier, 1790)";"Amphicerus bimaculatus (Olivier, 1790)";Animalia;
"Amphidium lapponicum (Hedw.) Schimp., 1856";"Amphidium lapponicum (Hedw.) Schimp.";Plantae;
"Amphidium lapponicum (Hedw.) Schimp., 1856";"Amphidium lapponicum (Hedw.) Schimp., 1856";Plantae;
"Amphidium mougeotii (Bruch & Schimp.) Schimp., 1856";"Amphidium mougeotii (Bruch & Schimp.) Schimp.";Plantae;
"Amphidium mougeotii (Bruch & Schimp.) Schimp., 1856";"Amphidium mougeotii (Bruch & Schimp.) Schimp., 1856";Plantae;
"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";Plantae;
"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997 subsp. coriophora";"Anacamptis coriophora subsp. coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";Plantae;
"Anacamptis fragrans (Pollini) R.M.Bateman, 2003";"Anacamptis fragrans (Pollini) R.M.Bateman, 2003";Plantae;
"Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";Plantae;
"Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";Plantae;
"Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";"Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997";Plantae;
"Anacamptis pyramidalis var. tanayensis Chenevard, 1897";"Anacamptis pyramidalis var. tanayensis Chenevard, 1897";Plantae;
"Microhypnum sauteri (Schimp.) Jan Kučera & Ignatov, 2019";"Anacamptodon sauteri (Schimp.) Hedenäs, Schlesak & D.Quandt, 2018";;
"Anacamptodon splachnoides (Froel. ex Brid.) Brid., 1819";"Anacamptodon splachnoides (Froel. ex Brid.) Brid.";Plantae;
"Anacamptodon splachnoides (Froel. ex Brid.) Brid., 1819";"Anacamptodon splachnoides (Froel. ex Brid.) Brid., 1819";Plantae;
"Anacridium aegyptium (Linnaeus, 1764)";"Anacridium aegyptium (Linnaeus, 1764)";Animalia;
"Anaesthetis testacea (Fabricius, 1781)";"Anaesthetis testacea (Fabricius, 1781)";Animalia;
